vacancy_name,vacancy_reference,employer,employer_reference,location,service,min_salary,max_salary,vacancy_currency
Data scientist (Computer Vision),https://yaroslavl.hh.ru/vacancy/46737685?from=vacancy_search_list&query=data%20scientist,ДомКлик,https://hh.ru/employer/2136954,Москва,HeadHunter,,,
Data Scientist (математическое моделирование),https://yaroslavl.hh.ru/vacancy/46066063?from=vacancy_search_list&query=data%20scientist,"«РОСБАНК, Societe Generale Group»",https://hh.ru/employer/599?dpt=rosbank-599-opyt,"Москва, Комсомольская и еще 2 ",HeadHunter,,,
Data scientist,https://yaroslavl.hh.ru/vacancy/42608701?from=vacancy_search_list&query=data%20scientist,Дром,https://hh.ru/employer/1781300,Новосибирск,HeadHunter,,,
"Data Scientist, Клиентские сервисы",https://yaroslavl.hh.ru/vacancy/43269100?from=vacancy_search_list&query=data%20scientist,Ozon Информационные технологии,https://hh.ru/employer/2180?dpt=ozonru-2180-dev,"Москва, Деловой центр и еще 2 ",HeadHunter,,,
Middle/Senior Data scientist,https://yaroslavl.hh.ru/vacancy/42268020?from=vacancy_search_list&query=data%20scientist,SberCloud,https://hh.ru/employer/3853446,Москва,HeadHunter,,,
Data Analyst,https://yaroslavl.hh.ru/vacancy/46428279?from=vacancy_search_list&query=data%20scientist,Tilting Point Media,https://hh.ru/employer/1471742,"Санкт-Петербург, Петроградская",HeadHunter,,,
Data Scientist,https://yaroslavl.hh.ru/vacancy/45284227?from=vacancy_search_list&query=data%20scientist,inDriver,https://hh.ru/employer/2524797,Якутск,HeadHunter,,,
Data Scientist/Data Analyst,https://yaroslavl.hh.ru/vacancy/44505242?from=vacancy_search_list&query=data%20scientist,ООО Лайфтех,https://hh.ru/employer/4199338,Минск,HeadHunter,,,
Data Scientist,https://yaroslavl.hh.ru/vacancy/46299027?from=vacancy_search_list&query=data%20scientist,"FOZZY GROUP, Корпорация",https://hh.ru/employer/25730,Киев,HeadHunter,,,
Data scientist/Machine learning engineer в команду прикладных исследований ИИ,https://yaroslavl.hh.ru/vacancy/44007750?from=vacancy_search_list&query=data%20scientist,ВКонтакте,https://hh.ru/employer/63225,"Санкт-Петербург, Невский проспект",HeadHunter,,,
Data Scientist,https://yaroslavl.hh.ru/vacancy/46102919?from=vacancy_search_list&query=data%20scientist,Спеціаліст та керівник головного офісу,https://hh.ru/employer/19887?dpt=19887-19887-rukov,Киев,HeadHunter,,,
Data engineer,https://yaroslavl.hh.ru/vacancy/44441141?from=vacancy_search_list&query=data%20scientist,"Лента, федеральная розничная сеть, IT ",https://hh.ru/employer/7172?dpt=7172-7172-it,Москва,HeadHunter,,,
Data Scientist в Яндекс.Маркет,https://yaroslavl.hh.ru/vacancy/45870312?from=vacancy_search_list&query=data%20scientist,Яндекс,https://hh.ru/employer/1740,Москва,HeadHunter,,,
Data scientist,https://yaroslavl.hh.ru/vacancy/40730219?from=vacancy_search_list&query=data%20scientist,Зарплата.ру,https://hh.ru/employer/2605703,"Новосибирск, Площадь Ленина",HeadHunter,,,
Data Scientist,https://yaroslavl.hh.ru/vacancy/46748041?from=vacancy_search_list&query=data%20scientist,"ПАО МегаФон, IT",https://hh.ru/employer/3127?dpt=mgfn-3127-it,"Москва, Маяковская и еще 2 ",HeadHunter,,,
Data Miner,https://yaroslavl.hh.ru/vacancy/46736991?from=vacancy_search_list&query=data%20scientist,АО ДБ Альфа-Банк,https://hh.ru/employer/47468,Алматы,HeadHunter,,,
Data scientist (NLP),https://yaroslavl.hh.ru/vacancy/46687870?from=vacancy_search_list&query=data%20scientist,"ПАО МегаФон, IT",https://hh.ru/employer/3127?dpt=mgfn-3127-it,"Москва, Маяковская и еще 2 ",HeadHunter,,,
Data scientist в управление розничного моделирования,https://yaroslavl.hh.ru/vacancy/37625294?from=vacancy_search_list&query=data%20scientist,Банк ВТБ (ПАО),https://hh.ru/employer/4181,Москва,HeadHunter,,,
Data scientist,https://yaroslavl.hh.ru/vacancy/46742794?from=vacancy_search_list&query=data%20scientist,Сбер для экспертов,https://hh.ru/employer/3529?dpt=3529-3529-prof,Москва,HeadHunter,,,
Data Scientist,https://yaroslavl.hh.ru/vacancy/46121507?from=vacancy_search_list&query=data%20scientist,Метинвест Диджитал,https://hh.ru/employer/5044286,Харьков,HeadHunter,,,
Senior Data Scientist,https://yaroslavl.hh.ru/vacancy/44721955?from=vacancy_search_list&query=data%20scientist,inDriver,https://hh.ru/employer/2524797,"Москва, Белорусская",HeadHunter,,,
Team Leader Data Scientist,https://yaroslavl.hh.ru/vacancy/46477747?from=vacancy_search_list&query=data%20scientist,Билайн,https://hh.ru/employer/4934,Москва,HeadHunter,,,
Data Scientist / Data Engineer,https://yaroslavl.hh.ru/vacancy/46743816?from=vacancy_search_list&query=data%20scientist,АО Программный регион,https://hh.ru/employer/1986909,Рязань,HeadHunter,80000.0,130000.0,руб.
Data Scientist (эксперт по аналитическим данным),https://yaroslavl.hh.ru/vacancy/46813033?from=vacancy_search_list&query=data%20scientist,ANCOR,https://hh.ru/employer/1947314?dpt=1947314-1947314-ancor,Москва,HeadHunter,,,
Data scientist по построению моделей оценки кредитного риска для клиентов МСБ (Big Data),https://yaroslavl.hh.ru/vacancy/43366306?from=vacancy_search_list&query=data%20scientist,Банк ВТБ (ПАО),https://hh.ru/employer/4181,"Москва, Выставочная и еще 2 ",HeadHunter,,,
Data Scientist (эксперт по аналитическим данным),https://yaroslavl.hh.ru/vacancy/46813034?from=vacancy_search_list&query=data%20scientist,ANCOR,https://hh.ru/employer/1947314?dpt=1947314-1947314-ancor,Екатеринбург,HeadHunter,,,
Database Content Scientist,https://yaroslavl.hh.ru/vacancy/46693886?from=vacancy_search_list&query=data%20scientist,Новые Программные Системы,https://hh.ru/employer/152468,Санкт-Петербург,HeadHunter,50000.0,100000.0,руб.
BI Analyst/Аналитик Данных,https://yaroslavl.hh.ru/vacancy/46213841?from=vacancy_search_list&query=data%20scientist,Click,https://hh.ru/employer/2053040,"Санкт-Петербург, Петроградская",HeadHunter,,,
Data scientist/Machine learning engineer в Команду CoreML,https://yaroslavl.hh.ru/vacancy/42449951?from=vacancy_search_list&query=data%20scientist,ВКонтакте,https://hh.ru/employer/63225,Санкт-Петербург,HeadHunter,,,
Data Scientist в Центр построения моделей кредитного риска КБ и МСБ,https://yaroslavl.hh.ru/vacancy/45256687?from=vacancy_search_list&query=data%20scientist,Банк Открытие,https://hh.ru/employer/23040,Москва,HeadHunter,,,
TechRisk Data Scientist,https://yaroslavl.hh.ru/vacancy/46843140?from=vacancy_search_list&query=data%20scientist,Сбер для экспертов,https://hh.ru/employer/3529?dpt=3529-3529-prof,Москва,HeadHunter,,,
Data Engineer,https://yaroslavl.hh.ru/vacancy/46831487?from=vacancy_search_list&query=data%20scientist,Spice Agency,https://hh.ru/employer/654435,Москва,HeadHunter,,,
